Country,TotalCases,TotalDeaths,TotalRecovered,CasesPerMillion,DeathsPerMillion,TotalTests,TestsPerMillion,Population
United States of America,111367209,1199031,109053249,332633,3581,1186742917,3544577,334805269
India,45028429,533475,44494954,32012,379,935879495,665334,1406631776
France,40138560,167642,39970918,612013,2556,271490188,4139547,65584518
Germany,38819284,182439,38240600,462776,2175,122332384,1458359,83883596
Brazil,38407327,709765,36249161,178345,3296,63776166,296146,215353593
South Korea,34571873,35934,34535939,673523,700,15804065,307892,51329899
Japan,33803572,74694,N/A,269169,595,100414883,799578,125584838
Italy,26716804,196257,26347863,443338,3257,280238086,4650269,60262770
United Kingdom,24898914,232112,24655170,363499,3389,522526476,7628357,68497907
Russia,23957146,402264,23370779,164308,2759,273400000,1875095,145805947
Turkey,17232066,102174,N/A,201399,1194,162743369,1902052,85561976
Spain,13914811,121760,13762417,297840,2606,471036328,10082298,46719142
Australia,11812730,24228,N/A,453137,929,81916639,3142326,26068792
Vietnam,11624114,43206,10640971,117470,437,85826548,867342,98953541
Taiwan,10241523,19005,10222518,428720,796,30742304,1286903,23888595
Argentina,10094643,130733,9963910,219400,2841,35716069,776264,46010234
Netherlands,8634340,22992,8610383,501663,1336,25984435,1509718,17211447
Mexico,7702809,334958,6899865,58549,2546,20013810,152124,131562772
Iran,7626527,146799,N/A,88657,1707,57320267,666338,86022837
Indonesia,6828605,162033,6647104,24463,580,114158919,408975,279134505
Poland,6659256,120553,N/A,176452,3194,39259301,1040263,37739785
Colombia,6390825,143146,6210192,124063,2779,36951507,717327,51512762
Greece,6101379,37869,N/A,591412,3671,102228365,9909078,10316637
Austria,6081287,22542,6054934,670727,2486,211273524,23302116,9066710
Portugal,5642217,28093,5613586,556400,2770,46139518,4549993,10140570
Ukraine,5557995,112418,5445577,128681,2603,32603805,754855,43192122
Chile,5356303,64497,5252450,278247,3350,50382097,2617225,19250195
Malaysia,5274786,37347,5229308,158970,1126,68580916,2066869,33181072
Canada,4929750,58348,4852719,128418,1520,66572774,1734189,38388419
Belgium,4858488,34376,4820246,416384,2946,37454182,3209915,11668278
Israel,4841772,12707,4798473,519169,1363,41373364,4436346,9326000
DPRK,4772813,74,4772739,183636,3,,,25990679
Thailand,4766751,34564,4692636,68020,493,17273454,246488,70078203
Czechia,4758292,43503,4713257,443177,4052,57780549,5381551,10736784
Peru,4572667,222161,4350506,135751,6595,39010194,1158115,33684208
Switzerland,4451386,14452,4435850,507359,1647,23833472,2716487,8773637
Philippines,4140383,66864,4067381,36800,594,36102746,320888,112508994
South Africa,4076463,102595,3912506,67095,1689,26795090,441027,60756135
Romania,3524982,68860,3452423,185220,3618,28616133,1503632,19031335
Denmark,3183756,8814,3174942,545636,1511,129333107,22165247,5834950
Singapore,3001665,1933,2998448,505029,325,24756666,4165302,5943546
Hong Kong,2928551,14542,2911227,385118,1912,76127725,10011143,7604299
Sweden,2753119,27293,2724761,269413,2671,19500873,1908301,10218971
Serbia,2614044,18057,2595259,302096,2087,13420125,1550919,8653016
New Zealand,2592549,5533,2582426,529286,1130,7768604,1586011,4898203
Iraq,2465545,25375,2439497,58474,602,19544451,463523,42164965
Hungary,2229804,49039,2152155,232120,5105,11394556,1186160,9606259
Bangladesh,2047373,29482,N/A,12195,176,15254399,90862,167885689
Slovakia,1877257,21219,1856038,343808,3886,7448789,1364199,5460193
Georgia,1855289,17132,N/A,467476,4317,16920079,4263340,3968738
Jordan,1746997,14122,1731007,169597,1371,17201885,1669945,10300869
Ireland,1733110,9480,1722398,345227,1888,13083449,2606161,5020199
Pakistan,1581936,30664,1538689,6893,134,30589153,133292,229488994
Finland,1515108,11939,1502620,272749,2149,12108977,2179850,5554960
Norway,1509662,6636,1502842,273918,1204,11002430,1996315,5511370
Kazakhstan,1411831,13848,1383020,73514,721,11575012,602707,19205043
Lithuania,1396037,9895,1384266,524489,3718,10540357,3959997,2661708
Slovenia,1356402,7100,1349175,652733,3417,2847701,1370382,2078034
Bulgaria,1339321,38737,1292587,195676,5660,11623445,1698193,6844597
Croatia,1309728,18687,1258432,322650,4604,5660084,1394355,4059286
Guatemala,1286737,20283,1263625,69239,1091,7593848,408622,18584039
Morocco,1278844,16301,N/A,33856,432,13001033,344191,37772756
Lebanon,1243838,10952,1087587,186068,1638,4795578,717380,6684849
Costa Rica,1238883,9428,N/A,239058,1819,4659757,899158,5182354
Bolivia,1211716,22407,1177145,101038,1868,2710261,225993,11992656
Tunisia,1153361,29423,N/A,95741,2442,5013383,416164,12046656
Cuba,1115235,8530,1106635,98644,754,14400079,1273706,11305652
Ecuador,1070188,36043,1034145,59083,1990,3082403,170173,18113361
United Arab Emirates,1067030,2349,N/A,105837,233,200732262,19910389,10081785
Panama,1059742,8726,1050908,238307,1962,7847296,1764641,4446964
Uruguay,1041111,7664,1030944,297799,2192,6114822,1749083,3496016
Mongolia,1011456,2284,1009172,299418,676,4030048,1193000,3378078
Nepal,1003450,12031,991322,33199,398,6047766,200088,30225582
Belarus,994037,7118,985592,105381,755,13646641,1446722,9432800
Latvia,982232,6675,971406,531270,3610,7885792,4265272,1848837
Saudi Arabia,841469,9646,N/A,23475,269,45481735,1268848,35844909
Paraguay,837602,20151,N/A,114648,2758,2657506,363751,7305843
Azerbaijan,834630,10400,824089,81030,1010,7748050,752223,10300205
Bahrain,729549,1574,727915,408944,882,10948549,6137138,1783983
Cyprus,681110,1365,679745,556741,1116,9640118,7879860,1223387
Dominican Republic,674608,4384,669198,61015,397,3740928,338350,11056370
Sri Lanka,672748,16897,655852,31181,783,6486117,300619,21575842
Kuwait,667026,2570,N/A,152278,587,8455743,1930391,4380326
Myanmar,641770,19495,620159,11621,353,11656269,211061,55227143
Moldova,634130,12202,N/A,158012,3040,3216305,801437,4013171
Estonia,627743,3001,N/A,474876,2270,6939567,5249652,1321910
Palestine,621008,5404,615445,116173,1011,3078533,575907,5345541
Venezuela,552695,5856,546537,18885,200,3359014,114771,29266991
Egypt,516023,24613,442182,4861,232,3693367,34792,106156692
Qatar,514524,690,513687,172664,232,4065369,1364257,2979915
Libya,507274,6437,500835,72048,914,2483848,352782,7040745
Ethiopia,501117,7574,488171,4148,63,5565340,46066,120812698
Réunion,494595,921,N/A,544672,1014,1603660,1766027,908061
Honduras,474590,11165,N/A,46432,1092,1660662,162472,10221247
Armenia,451426,8776,435162,151895,2953,3242901,1091164,2971966
Bosnia and Herz.,403565,16382,379084,124200,5042,1884721,580036,3249317
Oman,399449,4628,N/A,75028,869,25000000,4695724,5323993
Luxembourg,391020,1232,N/A,608714,1918,4587145,7140959,642371
Macedonia,350509,9971,337068,168408,4791,2226216,1069626,2081304
Zambia,349304,4069,341316,17940,209,4112961,211244,19470234
Kenya,344130,5689,337309,6122,101,3967062,70569,56215221
Brunei,342802,225,243601,769596,505,717784,1611437,445431
Albania,334863,3605,330233,116825,1258,1941032,677173,2866374
Botswana,330442,2801,327049,135363,1147,2026898,830300,2441162
Montenegro,296452,2845,291794,472095,4531,2769281,4410034,627950
Algeria,272010,6881,183061,5998,152,230960,5093,45350148
Nigeria,267188,3155,259953,1233,15,5708974,26339,216746934
Zimbabwe,266319,5737,258888,17371,374,2525756,164744,15331428
Uzbekistan,253662,1637,241486,7378,48,1377915,40077,34382084
Mozambique,233731,2250,228805,7064,68,1371127,41437,33089461
Afghanistan,231625,7984,209990,5683,196,1359910,33368,40754388
Martinique,230354,1102,N/A,615777,2946,828928,2215870,374087
Laos,218934,758,N/A,29265,101,1233207,164845,7481023
Iceland,209884,229,N/A,607667,663,1996384,5780036,345393
Kyrgyzstan,206897,2991,196406,30750,445,1907195,283460,6728271
Guadeloupe,203235,1021,N/A,508349,2554,938039,2346306,399794
El Salvador,201855,4230,179410,30816,646,2610114,398467,6550389
Trinidad and Tobago,191496,4390,187078,136143,3121,913289,649295,1406585
Maldives,186694,316,163687,345100,584,2213831,4092223,540985
Namibia,172280,4103,167099,65409,1558,1062663,403460,2633874
Uganda,171983,3632,100431,3551,75,3012408,62198,48432863
Ghana,171889,1462,170425,5306,45,2541625,78456,32395450
Jamaica,156834,3739,N/A,52539,1253,1183986,396633,2985094
Cambodia,139091,3056,136031,8101,178,3091420,180062,17168639
Rwanda,133518,1468,132039,9817,108,6021981,442778,13600464
Cameroon,125359,1974,123276,4491,71,1751774,62762,27911548
Malta,121392,882,120096,273385,1986,2167457,4881297,444033
Barbados,110480,648,108647,383580,2250,813173,2823292,288023
Angola,107322,1937,103419,3064,55,1499795,42818,35027343
Channel Islands,101717,228,101321,576421,1292,1252808,7099551,176463
DRC,99338,1468,84489,1043,15,846704,8890,95240792
French Guiana,98041,420,11254,312065,1337,651257,2072951,314169
Malawi,89168,2686,N/A,4418,133,624784,30959,20180839
Senegal,89053,1971,87024,5044,112,1146543,64946,17653671
Ivory Coast,88384,835,87497,3186,30,1690934,60951,27742298
Suriname,82588,1408,N/A,138378,2359,242207,405822,596831
New Caledonia,80064,314,N/A,275214,1079,98964,340182,290915
French Polynesia,79254,650,N/A,278902,2287,,,284164
Eswatini,75191,1427,73116,63462,1204,1048704,885119,1184817
Guyana,74137,1300,72013,93366,1637,733218,923396,794045
Belize,71381,688,N/A,173175,1669,576016,1397453,412190
Fiji,69117,885,67226,75997,973,672883,739866,909466
Madagascar,68486,1426,66862,2347,49,531329,18210,29178077
Cabo Verde,64477,417,63755,113580,735,401622,707482,567678
Sudan,63993,5046,58947,1391,110,562941,12240,45992020
Mauritania,63832,997,62471,13022,203,1009957,206030,4901981
Bhutan,62697,21,61564,79571,27,2303734,2923739,787941
Syria,57743,3165,54578,2982,163,146269,7553,19364809
Burundi,54721,38,53569,4334,3,345742,27386,12624840
Seychelles,51220,172,51048,515157,1730,,,99426
Gabon,49051,307,48674,21038,132,1621909,695641,2331533
Andorra,48015,165,N/A,619844,2130,249838,3225256,77463
Guinea,46864,670,46168,5043,72,249149,26813,9292169
Curaçao,45986,295,44720,277812,1782,496693,3000640,165529
Aruba,44224,292,42438,410969,2714,177885,1653068,107609
Tanzania,43223,846,N/A,683,13,,,63298550
Mauritius,43025,1051,41278,33752,824,358675,281374,1274727
Mayotte,42027,188,N/A,146815,657,176919,618038,286259
Togo,39557,290,39265,4557,33,814921,93876,8680837
Eq. Guinea,38572,468,37757,2782,34,660107,47607,13865691
Bahamas,38084,844,36366,95087,2107,257839,643767,400516
Isle of Man,38008,116,N/A,443335,1353,150753,1758422,85732
Lesotho,36138,723,25980,16610,332,431221,198199,2175699
Faeroe Islands,34658,28,N/A,703959,569,778000,15802409,49233
Haiti,34542,860,33576,2957,74,132422,11337,11680283
Mali,33164,743,32332,1544,35,804909,37483,21473764
Cayman Islands,31472,37,8553,467797,550,222773,3311280,67277
Saint Lucia,30215,410,29801,163225,2215,210983,1139752,185113
Benin,28036,163,27847,2193,13,604310,47268,12784726
Somalia,27334,1361,13182,1623,81,400466,23778,16841795
Micronesia,26547,65,N/A,225953,553,82430,701598,117489
San Marino,26185,128,26011,768226,3755,196855,5775414,34085
Solomon Islands,25954,199,N/A,35989,276,,,721159
Dem. Rep. Congo,25375,386,24006,4377,67,347815,59991,5797805
Timor-Leste,23460,138,23102,17131,101,278529,203391,1369429
Macao,22706,123,3487,34017,184,7850,11760,667490
Burkina Faso,22109,400,21596,1000,18,248995,11265,22102838
Liechtenstein,21572,94,N/A,561961,2449,112457,2929559,38387
Gibraltar,20550,113,N/A,609720,3353,534283,15852213,33704
Grenada,19693,238,19358,173545,2097,182981,1612523,113475
Bermuda,18860,165,18685,304493,2664,1029558,16622128,61939
South Sudan,18819,147,18115,1620,13,410280,35313,11618511
Nicaragua,18491,225,4225,2728,33,,,6779100
Tajikistan,17786,125,17264,1786,13,,,9957464
Equatorial Guinea,17229,183,16907,11512,122,365697,244342,1496662
Monaco,17181,67,N/A,431868,1684,78646,1976875,39783
Samoa,17006,31,1605,84089,153,187397,926612,202239
Tonga,16950,13,15638,157310,121,535009,4965327,107749
Marshall Islands,16138,17,16121,268711,283,,,60057
Dominica,16038,74,15964,221691,1023,229344,3170187,72344
Djibouti,15690,189,15427,15441,186,305941,301094,1016097
CAR,15440,113,15200,3078,23,81294,16205,5016678
Gambia,12626,372,12189,4935,145,155686,60851,2558482
Saint Martin,12324,63,N/A,310194,1586,112382,2828643,39730
Vanuatu,12019,14,11976,37346,44,24976,77606,321832
Greenland,11971,21,2761,210117,369,164926,2894810,56973
Yemen,11945,2159,9124,383,69,329592,10579,31154867
Caribbean Netherlands,11682,38,10476,438398,1426,30126,1130559,26647
Sint Maarten,11051,92,10905,251353,2093,62056,1411454,43966
Eritrea,10189,103,10086,2782,28,23693,6470,3662244
Niger,9931,312,8890,381,12,254538,9759,26083660
St. Vincent Grenadines,9674,124,9493,86723,1112,114197,1023720,111551
Guinea-Bissau,9614,177,8929,4659,86,145231,70385,2063367
Comoros,9109,161,8939,10038,177,,,907419
Antigua and Barbuda,9106,146,8954,91509,1467,18901,189943,99509
Liberia,8090,295,7783,1525,56,139824,26356,5305117
Sierra Leone,7779,126,N/A,937,15,259958,31296,8306436
Chad,7701,194,4874,442,11,191341,10988,17413580
British Virgin Islands,7392,64,N/A,241600,2092,107339,3508269,30596
Cook Islands,7203,2,7150,409937,114,19690,1120596,17571
Sao Tome and Principe,6751,80,6671,29651,351,29600,130008,227679
Turks and Caicos,6749,40,6683,169825,1007,616670,15517224,39741
Saint Kitts and Nevis,6607,48,6559,122645,891,126958,2356704,53871
Palau,6279,10,6268,344376,548,71280,3909395,18233
St. Barth,5507,6,N/A,553746,603,78646,7908095,9945
Nauru,5393,1,5347,494635,92,20509,1881042,10903
Kiribati,5085,24,2703,41201,194,,,123419
Anguilla,3904,12,N/A,256336,788,51382,3373736,15230
Wallis and Futuna,3550,8,438,323256,728,20508,1867419,10982
Saint Pierre Miquelon,3452,2,2449,599410,347,25400,4410488,5759
Tuvalu,2943,1,N/A,243909,83,,,12066
Saint Helena,2166,,2,354211,,,,6115
Falkland Islands,1930,,1930,545352,,8632,2439107,3539
Montserrat,1403,8,1376,282578,1611,17762,3577442,4965
Niue,1055,,1053,650432,,,,1622
Diamond Princess,712,13,699,,,,,
Tokelau,80,,,58055,,,,1378
Vatican City,29,,29,36295,,,,799
W. Sahara,10,1,9,16,2,,,626161
MS Zaandam,9,2,7,,,,,
China,503302,5272,379053,347,4,160000000,110461,1448471400
