month,total,dose_one,dose_two,dose_precaution,children,teens,adults,middle_aged,senior
2021-01,5255580,5255580,0,0,0,0,3669603,1423378,162597
2021-02,10323782,7904494,3419288,0,0,0,5974157,2479775,174845
2021-03,50934251,45055638,5873413,0,0,0,6740030,8915699,24866917
2021-04,78057179,60571611,17485568,0,0,0,4444186,43648052,29964852
2021-05,54691670,43465366,11226307,0,0,0,25864819,18947918,9878724
2021-06,114065289,98091735,13973464,0,0,0,74456425,26073646,13534844
2021-07,148313959,100237999,40076970,0,0,0,83783906,42003430,22526522
2021-08,175764814,129699990,46025226,0,0,0,117285100,39499009,18980615
2021-09,221969088,135548871,86420217,0,0,0,152638331,46165246,23165450
2021-10,134337008,57610263,76726045,0,0,0,92278533,27358475,14700000
2021-11,184929708,56905127,128024581,0,0,0,129764066,35842000,19323642
2021-12,183717171,48091165,135726006,0,0,0,130217937,34646393,18852841
2022-01,232219238,100981000,118589254,13648984,0,52708032,126942882,30875176,21693148
2022-02,93596620,17021552,71050226,5525442,0,31543758,43019794,9496574,9536494
2022-03,59094524,23160581,33358843,2575100,17995806,10062442,20802420,4960479,5273377
2022-04,44161808,10817355,28308532,5036921,16695493,4902823,13249339,3507296,5806857
2022-05,39291124,6697117,25689234,6904773,12130020,3955811,13263515,3977520,5964258
2022-06,38668730,4771168,21820523,12077039,8609567,3731257,14777108,4325146,6881645
2022-07,70681490,4232817,17556463,48891810,5910048,2618978,36082980,19712219,9046683
2022-08,69012984,2568480,7834225,58610279,2779361,1382644,40045263,17888600,6917116
2022-09,55990632,1612114,5383582,48994936,1967150,861131,33551892,13209037,6401422
2022-10,9835849,468531,1650648,7716670,840067,357064,4612560,2019567,1005591
2022-11,2165118,151722,542386,1470610,94097,196010,1288320,389804,195487
2022-12,1510681,131204,373133,1006344,16551,204151,937204,243434,109341